To,Location
iSW[0],PIN_N25
iSW[1],PIN_N26
iSW[2],PIN_P25
iSW[3],PIN_AE14
iSW[4],PIN_AF14
iSW[5],PIN_AD13
iSW[6],PIN_AC13
iSW[7],PIN_C13
iSW[8],PIN_B13
iSW[9],PIN_A13
iSW[10],PIN_N1
iSW[11],PIN_P1
iSW[12],PIN_P2
iSW[13],PIN_T7
iSW[14],PIN_U3
iSW[15],PIN_U4
iSW[16],PIN_V1
iSW[17],PIN_V2
oHEX0[0],PIN_AF10
oHEX0[1],PIN_AB12
oHEX0[2],PIN_AC12
oHEX0[3],PIN_AD11
oHEX0[4],PIN_AE11
oHEX0[5],PIN_V14
oHEX0[6],PIN_V13
oHEX1[0],PIN_V20
oHEX1[1],PIN_V21
oHEX1[2],PIN_W21
oHEX1[3],PIN_Y22
oHEX1[4],PIN_AA24
oHEX1[5],PIN_AA23
oHEX1[6],PIN_AB24
oHEX2[0],PIN_AB23
oHEX2[1],PIN_V22
oHEX2[2],PIN_AC25
oHEX2[3],PIN_AC26
oHEX2[4],PIN_AB26
oHEX2[5],PIN_AB25
oHEX2[6],PIN_Y24
oHEX3[0],PIN_Y23
oHEX3[1],PIN_AA25
oHEX3[2],PIN_AA26
oHEX3[3],PIN_Y26
oHEX3[4],PIN_Y25
oHEX3[5],PIN_U22
oHEX3[6],PIN_W24
oHEX4[0],PIN_U9
oHEX4[1],PIN_U1
oHEX4[2],PIN_U2
oHEX4[3],PIN_T4
oHEX4[4],PIN_R7
oHEX4[5],PIN_R6
oHEX4[6],PIN_T3
oHEX5[0],PIN_T2
oHEX5[1],PIN_P6
oHEX5[2],PIN_P7
oHEX5[3],PIN_T9
oHEX5[4],PIN_R5
oHEX5[5],PIN_R4
oHEX5[6],PIN_R3
oHEX6[0],PIN_R2
oHEX6[1],PIN_P4
oHEX6[2],PIN_P3
oHEX6[3],PIN_M2
oHEX6[4],PIN_M3
oHEX6[5],PIN_M5
oHEX6[6],PIN_M4
oHEX7[0],PIN_L3
oHEX7[1],PIN_L2
oHEX7[2],PIN_L9
oHEX7[3],PIN_L6
oHEX7[4],PIN_L7
oHEX7[5],PIN_P9
oHEX7[6],PIN_N9
iKEY[0],PIN_G26
iKEY[1],PIN_N23
iKEY[2],PIN_P23
iKEY[3],PIN_W26
oLEDR[0],PIN_AE23
oLEDR[1],PIN_AF23
oLEDR[2],PIN_AB21
oLEDR[3],PIN_AC22
oLEDR[4],PIN_AD22
oLEDR[5],PIN_AD23
oLEDR[6],PIN_AD21
oLEDR[7],PIN_AC21
oLEDR[8],PIN_AA14
oLEDR[9],PIN_Y13
oLEDR[10],PIN_AA13
oLEDR[11],PIN_AC14
oLEDR[12],PIN_AD15
oLEDR[13],PIN_AE15
oLEDR[14],PIN_AF13
oLEDR[15],PIN_AE13
oLEDR[16],PIN_AE12
oLEDR[17],PIN_AD12
oLEDG[0],PIN_AE22
oLEDG[1],PIN_AF22
oLEDG[2],PIN_W19
oLEDG[3],PIN_V18
oLEDG[4],PIN_U18
oLEDG[5],PIN_U17
oLEDG[6],PIN_AA20
oLEDG[7],PIN_Y18
oLEDG[8],PIN_Y12
iCLK_27,PIN_D13
iCLK_50,PIN_N2
LCD_RW,PIN_K4
LCD_EN,PIN_K3
LCD_RS,PIN_K1
LCD_DATA[0],PIN_J1
LCD_DATA[1],PIN_J2
LCD_DATA[2],PIN_H1
LCD_DATA[3],PIN_H2
LCD_DATA[4],PIN_J4
LCD_DATA[5],PIN_J3
LCD_DATA[6],PIN_H4
LCD_DATA[7],PIN_H3
LCD_ON,PIN_L4
LCD_BLON,PIN_K2
VGA_R[0],PIN_C8
VGA_R[1],PIN_F10
VGA_R[2],PIN_G10
VGA_R[3],PIN_D9
VGA_R[4],PIN_C9
VGA_R[5],PIN_A8
VGA_R[6],PIN_H11
VGA_R[7],PIN_H12
VGA_R[8],PIN_F11
VGA_R[9],PIN_E10
VGA_G[0],PIN_B9
VGA_G[1],PIN_A9
VGA_G[2],PIN_C10
VGA_G[3],PIN_D10
VGA_G[4],PIN_B10
VGA_G[5],PIN_A10
VGA_G[6],PIN_G11
VGA_G[7],PIN_D11
VGA_G[8],PIN_E12
VGA_G[9],PIN_D12
VGA_B[0],PIN_J13
VGA_B[1],PIN_J14
VGA_B[2],PIN_F12
VGA_B[3],PIN_G12
VGA_B[4],PIN_J10
VGA_B[5],PIN_J11
VGA_B[6],PIN_C11
VGA_B[7],PIN_B11
VGA_B[8],PIN_C12
VGA_B[9],PIN_B12
VGA_CLK,PIN_B8
VGA_BLANK,PIN_D6
VGA_HS,PIN_A7
VGA_VS,PIN_D8
VGA_SYNC,PIN_B7
